platform,client,key,category_id,parent_category_id,original_category_name,display_category_name,has_children,debug_message
Shopee,758395205,get_category,101646,100883,Lip Plumper,Son làm căng môi,False,
Shopee,758395205,get_category,101645,100883,Lip Tint & Stain,Son tint,False,
Shopee,758395205,get_category,101644,100883,Lip Liner,Viền môi,False,
Shopee,758395205,get_category,101643,100883,Lip Gloss,Son bóng,False,
Shopee,758395205,get_category,101642,100883,Lipstick,Son môi,False,
Shopee,758395205,get_category,100882,100662,Eyes,Trang điểm mắt,True,
Shopee,758395205,get_category,101641,100882,Others,Khác,False,
Shopee,758395205,get_category,101640,100882,Eyebrows,Kẻ mày,False,
Shopee,758395205,get_category,101639,100882,Mascara,Mascara,False,
Shopee,758395205,get_category,101638,100882,Eyeliner,Bút kẻ mắt,False,
Shopee,758395205,get_category,101637,100882,Eye Primer,Kem lót mắt,False,
Shopee,758395205,get_category,101636,100882,Eyeshadow,Phấn mắt,False,
Shopee,758395205,get_category,100881,100662,Face,Trang điểm mặt,True,
Shopee,758395205,get_category,101635,100881,Others,Khác,False,
Shopee,758395205,get_category,101634,100881,Blush,Má hồng,False,
Shopee,758395205,get_category,101633,100881,Setting & Finishing Spray,Xịt giữ makeup,False,
Shopee,758395205,get_category,101632,100881,"Bronzer,Contour & Highlighter",Tạo khối & bắt sáng,False,
Shopee,758395205,get_category,101631,100881,Concealer & Corrector,Che khuyết điểm,False,
Shopee,758395205,get_category,101630,100881,Powder,Phấn phủ,False,
Shopee,758395205,get_category,101629,100881,BB & CC Cream,Kem BB & CC,False,
Shopee,758395205,get_category,101628,100881,Foundation,Kem nền,False,
Shopee,758395205,get_category,101627,100881,Makeup Base & Primer,Kem lót,False,
Shopee,758395205,get_category,100880,100662,Others,Khác,False,
Shopee,758395205,get_category,100661,100630,Perfumes & Fragrances,Nước hoa,False,
Shopee,758395205,get_category,100660,100630,Men's Care,Chăm sóc nam giới,True,
Shopee,758395205,get_category,100879,100660,Others,Khác,False,
Shopee,758395205,get_category,100878,100660,Hair Care,Chăm sóc tóc,False,
Shopee,758395205,get_category,100877,100660,Shaving & Grooming,Sản phẩm cạo râu & hớt tóc,True,
Shopee,758395205,get_category,101626,100877,Others,Khác,False,
Shopee,758395205,get_category,101625,100877,Shaving Accessories,Phụ kiện hỗ trợ cạo râu,False,
Shopee,758395205,get_category,101624,100877,"Trimmers, Clippers & Multi-functional Groomers",Máy cạo râu đa chức năng,False,
Shopee,758395205,get_category,101623,100877,Shaving Brushes,Cọ cạo râu,False,
Shopee,758395205,get_category,101622,100877,Shavers,Máy cạo râu,False,
Shopee,758395205,get_category,101621,100877,Razors & Blades,Dao cạo râu,False,
Shopee,758395205,get_category,101620,100877,"Creams, Foams & Gels","Kem dưỡng, kem tạo bọt & gel",False,
Shopee,758395205,get_category,101619,100877,Aftershave,Dưỡng da sau cạo râu,False,
Shopee,758395205,get_category,100876,100660,Skincare,Chăm sóc da,True,
Shopee,758395205,get_category,101618,100876,Others,Khác,False,
Shopee,758395205,get_category,101617,100876,Moisturizer & Treatment,Kem dưỡng ẩm & dưỡng da,False,
Shopee,758395205,get_category,101616,100876,Facial Cleanser,Sữa rửa mặt,False,
Shopee,758395205,get_category,100875,100660,Bath & Body Care,Sữa tắm & chăm sóc cơ thể,False,
Shopee,758395205,get_category,100659,100630,Hair Care,Chăm sóc tóc,True,
Shopee,758395205,get_category,100874,100659,Others,Khác,False,
Shopee,758395205,get_category,100873,100659,Hair Styling,Sản phẩm tạo kiểu tóc,False,
Shopee,758395205,get_category,100872,100659,Hair and Scalp Conditioner,Dầu xả,False,
Shopee,758395205,get_category,100871,100659,Hair Treatment,Sản phẩm dưỡng tóc,False,
Shopee,758395205,get_category,100870,100659,Hair Colour,Thuốc nhuộm tóc,False,
Shopee,758395205,get_category,100869,100659,Shampoo,Dầu gội,False,
Shopee,758395205,get_category,100658,100630,"Hand, Foot & Nail Care","Chăm sóc tay, chân & móng",True,
Shopee,758395205,get_category,100868,100658,Others,Khác,False,
Shopee,758395205,get_category,100867,100658,Nail Care,Chăm sóc móng,True,
Shopee,758395205,get_category,102178,100867,Nail Gel,Nail Gel,False,
Shopee,758395205,get_category,102035,100867,Others,Khác,False,
Shopee,758395205,get_category,102034,100867,Manicure Tools & Devices,Dụng cụ & thiết bị làm móng,False,
Shopee,758395205,get_category,102033,100867,Nail Art & Sticker,Hình dán móng,False,
Shopee,758395205,get_category,102032,100867,Artificial Nail,Móng giả,False,
Shopee,758395205,get_category,102031,100867,Nail Treatment,Dưỡng móng,False,
Shopee,758395205,get_category,102030,100867,Nail Polish Remover,Dụng cụ tẩy sơn móng,False,
Shopee,758395205,get_category,102029,100867,Nail Polish,Sơn móng,False,
Shopee,758395205,get_category,101615,100867,Base & Top Coat,Sơn nền & sơn bóng,False,
Shopee,758395205,get_category,100866,100658,Foot Care,Chăm sóc chân,True,
Shopee,758395205,get_category,101614,100866,Others,Khác,False,
Shopee,758395205,get_category,101613,100866,"Lotion, Cream & Scrubs","Kem dưỡng, dầu dưỡng & sữa dưỡng",False,
Shopee,758395205,get_category,101612,100866,Foot Masks,Mặt nạ cho chân,False,
Shopee,758395205,get_category,101611,100866,Foot Deodorant,Khử mùi hôi chân,False,
Shopee,758395205,get_category,100865,100658,Hand Care,Chăm sóc tay,True,
Shopee,758395205,get_category,101610,100865,Others,Khác,False,
Shopee,758395205,get_category,101609,100865,Hand Washes,Xà phòng rửa tay,False,
Shopee,758395205,get_category,101608,100865,"Lotion, Cream & Scrubs","Kem dưỡng, dầu dưỡng & sữa dưỡng",False,
Shopee,758395205,get_category,101607,100865,Hand Masks,Mặt nạ cho tay,False,
Shopee,758395205,get_category,100001,0,Health,Sức Khỏe,True,
Shopee,758395205,get_category,100020,100001,Sexual Wellness,Hỗ trợ tình dục,True,
Shopee,758395205,get_category,100144,100020,Others,Khác,False,
Shopee,758395205,get_category,100143,100020,Performance Enhancement,Tăng cường sinh lý,False,
Shopee,758395205,get_category,100141,100020,Lubricants,Bôi trơn,False,
Shopee,758395205,get_category,100140,100020,Condoms,Bao cao su,False,
Shopee,758395205,get_category,100019,100001,Personal Care,Chăm sóc cá nhân,True,
Shopee,758395205,get_category,100139,100019,Others,Khác,False,
Shopee,758395205,get_category,100138,100019,Insect Repellents,Chống muỗi & xua đuổi côn trùng,False,
Shopee,758395205,get_category,100137,100019,Massage & Therapy Devices,Dụng cụ massage và trị liệu,False,
Shopee,758395205,get_category,100136,100019,Feminine Care,Chăm sóc phụ nữ,True,
Shopee,758395205,get_category,100453,100136,Others,Khác,False,
Shopee,758395205,get_category,100452,100136,Vaginal Cream,Kem dưỡng vùng kín,False,
Shopee,758395205,get_category,100451,100136,Feminine Wash,Dung dịch vệ sinh phụ nữ,False,
Shopee,758395205,get_category,100450,100136,Menstrual Cup,Cốc nguyệt san,False,
Shopee,758395205,get_category,100449,100136,Pregnancy & Fertility Tests,Que thử thai,False,
Shopee,758395205,get_category,100448,100136,Tampons,Tampon,False,
Shopee,758395205,get_category,100447,100136,Sanitary Napkins & Panty Liners,Băng vệ sinh có cánh & không cánh,False,
Shopee,758395205,get_category,100135,100019,Adult Diapers & Incontinence,Tã người lớn,False,
Shopee,758395205,get_category,100134,100019,Oral Care,Vệ sinh răng miệng,True,
Shopee,758395205,get_category,100446,100134,Others,Khác,False,
Shopee,758395205,get_category,100445,100134,Orthodontic Accessories,Dụng cụ hỗ trợ chỉnh nha,False,
Shopee,758395205,get_category,100444,100134,Teeth Whitening,Hỗ trợ trắng răng,False,
Shopee,758395205,get_category,100443,100134,Denture Care,Răng giả và phụ kiện,False,
Shopee,758395205,get_category,100442,100134,Mouth Wash,Nước súc miệng,False,
Shopee,758395205,get_category,100441,100134,Dental Floss,Chỉ nha khoa,False,
Shopee,758395205,get_category,100440,100134,Toothpastes,Kem đánh răng,False,
Shopee,758395205,get_category,100439,100134,Electric Toothbrushes & Accessories,Bàn chải điện & phụ kiện,False,
Shopee,758395205,get_category,100438,100134,Manual Toothbrushes,Bàn chải đánh răng,False,
Shopee,758395205,get_category,100133,100019,Ear Care,Chăm sóc tai,False,
Shopee,758395205,get_category,100132,100019,Eye Care,Chăm sóc mắt,True,
Shopee,758395205,get_category,100437,100132,Others,Khác,False,
Shopee,758395205,get_category,100436,100132,Lens Solutions & Eyedrops,Thuốc nhỏ mắt và ngâm áp tròng,False,
Shopee,758395205,get_category,100435,100132,Contact lens,Kính áp tròng,False,
Shopee,758395205,get_category,100131,100019,Hand Sanitizers,Dung dịch sát khuẩn tay,False,
Shopee,758395205,get_category,100018,100001,Medical Supplies,Vật tư y tế,True,
Shopee,758395205,get_category,100130,100018,Others,Khác,False,
Shopee,758395205,get_category,100129,100018,Injury & Disability Support,Hỗ trợ chấn thương và khuyết tật,True,
Shopee,758395205,get_category,100434,100129,Others,Khác,False,
Shopee,758395205,get_category,100433,100129,Hearing Aids,Trợ thính,False,
Shopee,758395205,get_category,100432,100129,Braces & Supports,Dụng cụ nẹp và hỗ trợ khớp,False,
Shopee,758395205,get_category,100431,100129,Wheelchairs,Xe lăn,False,
Shopee,758395205,get_category,100430,100129,Walking Aids,Nạng chống,False,
Shopee,758395205,get_category,100128,100018,Medical Gloves & Masks,Bao tay và khẩu trang y tế,False,
Shopee,758395205,get_category,100127,100018,Laboratory Tools,Dụng cụ thí nghiệm,False,
Shopee,758395205,get_category,100126,100018,Pain Relievers,Sản phẩm giảm đau dùng ngoài da,False,
Shopee,758395205,get_category,100125,100018,Stethoscopes,Ống nghe y tế,False,
Shopee,758395205,get_category,100124,100018,First Aid Supplies,Dụng cụ sơ cứu,True,
Shopee,758395205,get_category,100429,100124,Others,Khác,False,
Shopee,758395205,get_category,100428,100124,Medical Antiseptics & Disinfectants,Thuốc sát trùng & khử trùng y tế,False,
Shopee,758395205,get_category,100427,100124,Ointments & Creams,Kem và thuốc mỡ,False,
Shopee,758395205,get_category,100426,100124,First Aid Accessories,Phụ kiện sơ cấp cứu,False,
Shopee,758395205,get_category,100425,100124,Plasters & Bandages,Băng gạc y tế,False,
Shopee,758395205,get_category,100123,100018,Nasal Care,Chăm sóc mũi,False,
Shopee,758395205,get_category,100122,100018,Scale & Body Fat Analyzers,Cân sức khỏe và phân tích cơ thể,False,
Shopee,758395205,get_category,100121,100018,Health Monitors & Tests,Kiểm tra và theo dõi sức khỏe,True,
Shopee,758395205,get_category,100424,100121,Others,Khác,False,
Shopee,758395205,get_category,100423,100121,Thermometers,Nhiệt kế,False,
Shopee,758395205,get_category,100422,100121,Pulse Oximeters,Máy đo nồng độ oxy trong máu,False,
Shopee,758395205,get_category,100421,100121,Blood Glucose Monitors,Máy đo lượng đường trong máu,False,
Shopee,758395205,get_category,100420,100121,Blood Pressure Monitors,Máy đo huyết áp,False,
Shopee,758395205,get_category,100008,100001,Others,Khác,False,
Shopee,758395205,get_category,100002,100001,Food Supplement,Thực phẩm chức năng,True,
Shopee,758395205,get_category,100007,100002,Others,Khác,False,
Shopee,758395205,get_category,100006,100002,Well Being,Hỗ trợ sức khỏe,False,
Shopee,758395205,get_category,100005,100002,Fitness,Hỗ trợ tăng cơ,False,
Shopee,758395205,get_category,100004,100002,Beauty Supplements,Hỗ trợ làm đẹp,False,
Shopee,758395205,get_category,100003,100002,Weight Management,Hỗ trợ kiểm soát cân nặng,False,
Shopee,758395205,get_category,100009,0,Fashion Accessories,Phụ Kiện Thời Trang,True,
Shopee,758395205,get_category,100036,100009,Others,Khác,False,
Shopee,758395205,get_category,100035,100009,Accessories Sets & Packages,Bộ phụ kiện,False,
Shopee,758395205,get_category,100034,100009,Additional Accessories,Phụ kiện thêm,True,
Shopee,758395205,get_category,100167,100034,Others,Khác,False,
Shopee,758395205,get_category,100166,100034,Handkerchiefs,Khăn tay,False,
Shopee,758395205,get_category,100165,100034,Masks,Khẩu trang thời trang,False,
Shopee,758395205,get_category,100164,100034,Tattoos,Hình xăm dán,False,
Shopee,758395205,get_category,100163,100034,Cufflinks,Măng sét nam,False,
Shopee,758395205,get_category,100162,100034,"Charms, Pendants & Ornaments",Mặt dây chuyền và Charm,False,
Shopee,758395205,get_category,100161,100034,Patches,Miếng vá áo,False,
Shopee,758395205,get_category,100160,100034,Brooches & Pins,Trâm & Ghim cài áo,False,
Shopee,758395205,get_category,100033,100009,"Neckties, Bow Ties & Cravats",Cà vạt & Nơ cổ,False,
Shopee,758395205,get_category,100032,100009,Belts,Thắt lưng,False,
Shopee,758395205,get_category,100031,100009,Investment Precious Metals,Kim loại quý,True,
Shopee,758395205,get_category,100156,100031,Silver,Bạc,False,
Shopee,758395205,get_category,100030,100009,Eyewear,Kính mắt,True,
Shopee,758395205,get_category,100154,100030,Others,Khác,False,
Shopee,758395205,get_category,100153,100030,Eyewear Cases & Accessories,Hộp kính và phụ kiện,False,
Shopee,758395205,get_category,100152,100030,Frames & Glasses,Gọng kính,False,
Shopee,758395205,get_category,100151,100030,Sunglasses,Kính mát,False,
Shopee,758395205,get_category,100029,100009,Necklaces,Dây chuyền,False,
Shopee,758395205,get_category,100028,100009,Hats & Caps,Mũ,False,
Shopee,758395205,get_category,100027,100009,Anklets,Lắc chân,False,
Shopee,758395205,get_category,100026,100009,Bracelets & Bangles,Vòng tay & Lắc tay,False,
Shopee,758395205,get_category,100025,100009,Hair Accessories,Phụ kiện tóc,True,
Shopee,758395205,get_category,100150,100025,Others,Khác,False,
Shopee,758395205,get_category,100149,100025,"Headpieces, Tiaras & Flower Crowns","Cài tóc, vương miện cài tóc",False,
Shopee,758395205,get_category,100148,100025,Wigs & Extensions,Tóc giả & Tóc nối,False,
Shopee,758395205,get_category,100147,100025,Hair Clips & Hair Pins,Kẹp tóc,False,
Shopee,758395205,get_category,100146,100025,"Hair Ties, Ribbons & Scrunchies",Đồ buộc tóc & Nơ,False,
Shopee,758395205,get_category,100145,100025,Headbands,Băng đô tóc,False,
Shopee,758395205,get_category,100024,100009,Gloves,Găng tay,False,
Shopee,758395205,get_category,100023,100009,Scarves & Shawls,Khăn choàng,False,
Shopee,758395205,get_category,100022,100009,Earrings,Bông tai,False,
Shopee,758395205,get_category,100021,100009,Rings,Nhẫn,False,
Shopee,758395205,get_category,100010,0,Home Appliances,Thiết Bị Điện Gia Dụng,True,
Shopee,758395205,get_category,100046,100010,Others,Khác,False,
Shopee,758395205,get_category,100045,100010,Remote Controls,Thiết bị điều khiển từ xa,False,
Shopee,758395205,get_category,100043,100010,Batteries,Pin,False,
Shopee,758395205,get_category,100042,100010,Electrical Circuitry & Parts,Mạch điện & Phụ tùng,True,
Shopee,758395205,get_category,100220,100042,Others,Khác,False,
Shopee,758395205,get_category,100219,100042,Lightning Protection,Thiết bị chống sấm sét,False,
Shopee,758395205,get_category,100218,100042,House Alarms,Thiết bị báo động nhà ở,False,
Shopee,758395205,get_category,100217,100042,Switches,Công tắc,False,
Shopee,758395205,get_category,100216,100042,Doorbells,Chuông cửa,False,
Shopee,758395205,get_category,100214,100042,Electrical Safety,Thiết bị an toàn điện tử,False,
Shopee,758395205,get_category,100213,100042,Electric Sockets & Extension Cords,Ổ cắm điện & Dây nối,False,
Shopee,758395205,get_category,100041,100010,Kitchen Appliances,Đồ gia dụng nhà bếp,True,
Shopee,758395205,get_category,100212,100041,Others,Khác,False,
Shopee,758395205,get_category,100211,100041,Hoods,Máy hút khói,False,
Shopee,758395205,get_category,100210,100041,Freezers,Tủ đông,False,
Shopee,758395205,get_category,100209,100041,Refrigerators,Tủ lạnh,False,
Shopee,758395205,get_category,100208,100041,Specialty Cookware,Dụng cụ nấu đặc biệt,True,
Shopee,758395205,get_category,100474,100208,Others,Khác,False,
Shopee,758395205,get_category,100473,100208,Soda Makers,Máy làm soda,False,
Shopee,758395205,get_category,100472,100208,Dessert Machine,Máy làm món tráng miệng,False,
Shopee,758395205,get_category,100471,100208,Takoyaki Makers,Máy làm bánh Takoyaki,False,
Shopee,758395205,get_category,100470,100208,Bread Makers,Máy làm bánh mì,False,
Shopee,758395205,get_category,100469,100208,Egg Boilers,Máy luộc trứng,False,
Shopee,758395205,get_category,100468,100208,Waffle & Crepe Makers,Máy làm bánh Waffle & Crepe,False,
Shopee,758395205,get_category,100207,100041,Rice Cookers,Nồi cơm điện,False,
Shopee,758395205,get_category,100206,100041,Slow Cookers & Sous Vide Machines,Nồi nấu chậm & Dụng cụ nấu chân không,False,
Shopee,758395205,get_category,100205,100041,Pressure Cookers,Nồi áp suất,False,
Shopee,758395205,get_category,100204,100041,Multi-function Cookers,Nồi nấu đa năng,False,
Shopee,758395205,get_category,100203,100041,Food Processors & Meat Grinders,Máy chế biến thực phẩm & Xay thịt,False,
Shopee,758395205,get_category,100202,100041,Toasters,Máy nướng bánh,False,
Shopee,758395205,get_category,100201,100041,Ovens,Lò nướng,False,
Shopee,758395205,get_category,100200,100041,Microwaves,Lò vi sóng,False,
Shopee,758395205,get_category,100199,100041,Deep Fryers,Nồi chiên ngập dầu,False,
Shopee,758395205,get_category,100198,100041,Air Fryers,Nồi chiên không dầu,False,
Shopee,758395205,get_category,100197,100041,"Stoves, Hobs & Gas Regulators","Lò sưởi, Bếp từ & Bộ điều chỉnh gas",False,
Shopee,758395205,get_category,100196,100041,Dishwashers,Máy rửa bát đĩa,False,
Shopee,758395205,get_category,100195,100041,Mixers,Máy trộn thực phẩm,False,
Shopee,758395205,get_category,100194,100041,Coffee Machines & Accessories,Máy pha cà phê & Phụ kiện,False,
Shopee,758395205,get_category,100193,100041,"Juicers, Blenders & Soya Bean Machines","Máy ép, Xay sinh tố & Máy làm sữa đậu nành",False,
Shopee,758395205,get_category,100192,100041,Wine Fridges,Tủ ủ rượu,False,
Shopee,758395205,get_category,100191,100041,Kettles,Ấm đun siêu tốc,False,
Shopee,758395205,get_category,100190,100041,"Water Filters, Coolers & Dispensers",Máy lọc nước,False,
Shopee,758395205,get_category,100040,100010,TVs & Accessories,Tivi & Phụ kiện,True,
Shopee,758395205,get_category,100189,100040,Others,Khác,False,
Shopee,758395205,get_category,100188,100040,TV Brackets,Giá treo tivi,False,
Shopee,758395205,get_category,100187,100040,TV Boxes & Receivers,Tivi box & Đầu thu kỹ thuật số,False,
Shopee,758395205,get_category,100186,100040,TV Antennas,Ăng ten Tivi,False,
Shopee,758395205,get_category,100185,100040,TVs,Tivi,False,
Shopee,758395205,get_category,100039,100010,Large Household Appliances,Thiết bị điện gia dụng lớn,True,
Shopee,758395205,get_category,100184,100039,Others,Khác,False,
Shopee,758395205,get_category,100183,100039,Heaters,Máy sưởi,False,
Shopee,758395205,get_category,100182,100039,Futon & Shoe Dryers,Thiết bị sấy khô nệm & Giày,False,
Shopee,758395205,get_category,100181,100039,Cooling,Thiết bị làm mát,True,
Shopee,758395205,get_category,100467,100181,Others,Khác,False,
Shopee,758395205,get_category,100466,100181,Fans,Quạt,False,
Shopee,758395205,get_category,100465,100181,Air Coolers & Portable Aircons,Máy làm mát không khí & Điều hoà cầm tay,False,
Shopee,758395205,get_category,100464,100181,Air-Conditioners,Điều hòa,False,
Shopee,758395205,get_category,100180,100039,Water Heaters,Máy nước nóng,False,
Shopee,758395205,get_category,100179,100039,Washing Machines & Dryers,Máy giặt & Máy sấy,True,
Shopee,758395205,get_category,100463,100179,Others,Khác,False,
Shopee,758395205,get_category,100462,100179,Laundry Dryers,Máy sấy quần áo,False,
Shopee,758395205,get_category,100461,100179,Washing Machines,Máy giặt,False,
