"country_code","shop_id","item_id","date","price","price_original","price_before_promo","discount_percent","history_sold","monthly_sold","liked_count","rating","rating_count","unit_sold"
id,"1368540320","50903219820",2026-07-21,68000,338888,68000,80,773,154,298,4.87,307,0
id,"1379527329","26695187984",2026-07-21,89000,288000,96000,69,26,26,13,4.88,8,0
id,"1379527329","40132174046",2026-07-21,158000,388000,165000,59,81,80,18,4.90,21,0
id,"1379527329","56012716707",2026-07-21,168000,336000,175000,50,101,101,86,4.97,37,0
id,"1379527329","51602803213",2026-07-21,188000,348000,188000,46,600,103,482,4.98,173,0
id,"1379527329","51752816901",2026-07-21,66470,116000,66470,43,2000,363,1563,4.94,834,0
id,"1379527329","28720143774",2026-07-21,68000,136000,75000,50,7000,106,5940,4.93,2189,0
id,"1379527329","58150107789",2026-07-21,96000,196000,96000,51,1000,132,2128,4.94,430,0
id,"1379527329","54561278782",2026-07-21,96000,186000,96000,48,381,24,54,4.92,65,0
id,"1379527329","48051897514",2026-07-21,68000,116000,75000,41,515,39,507,4.92,190,0
id,"1379527329","49163119181",2026-07-21,9999999,9999999,9999999,,11,11,1,5.00,1,0
id,"1379527329","27365465554",2026-07-21,99000,219000,106000,55,63,15,82,4.93,28,0
id,"1379527329","28767473302",2026-07-21,218000,504000,225000,57,8,3,27,5.00,5,0
id,"1368540320","40004031932",2026-07-21,183000,1620000,183000,89,6000,1000,2301,4.89,3068,0
id,"1368540320","55163957726",2026-07-21,49000,420000,49000,88,6,6,11,5.00,2,0
id,"1368540320","56810310860",2026-07-21,40000,399999,40000,90,10000,1000,11698,4.86,8256,0
id,"1368540320","50900285453",2026-07-21,40000,399999,40000,90,10000,1000,19218,4.85,14202,0
id,"1368540320","49162304776",2026-07-21,147000,1390000,147000,89,98,97,48,4.80,41,0
id,"1368540320","56600897084",2026-07-21,72000,338888,72000,79,10000,322,1362,4.85,11365,0
id,"1368540320","42717296336",2026-07-21,59000,151500,59000,61,10000,10,675,4.82,18278,0
id,"1368540320","51162804412",2026-07-21,64900,430000,64900,85,134,134,59,4.97,65,0
id,"1368540320","40868766467",2026-07-21,90000,645000,90000,86,4000,276,1477,4.82,2090,0
id,"1368540320","26240939189",2026-07-21,59000,580000,59000,90,10000,21,1596,4.87,6540,0
id,"1368540320","40381755746",2026-07-21,183000,1590000,183000,88,386,383,85,4.92,155,0
id,"1368540320","28770371035",2026-07-21,35000,319999,35000,89,10000,275,1737,4.84,5867,0
