product_listing_key,country_code,shop_id,item_id,product_name,snapshot_date,tier_variation_name,tier_variation_options,tier_variation_options_count
id:1368540320:42867294514,id,1368540320,42867294514,Cyeecare 5X Centella Soothing Cream Gel Moisturizer Pelembab Pereda Kemerahan & Skin Barrier 30g,2026-07-03,Ukuran,"[""Soothing Cream""]",1
id:1368540320:43131681384,id,1368540320,43131681384,Cyeecare Ginger Serum Rambut 20g - Anti Rontok Penumbuh Rambut Menguatkan Akar & Menambah Volume,2026-07-03,type,"[""1pcs"", ""2pcs"", ""3pcs"", ""5pcs"", ""HairCare Set""]",5
id:1368540320:43317569775,id,1368540320,43317569775,Cyeecare Exfoliating Peeling Solution Serum 20g + Bright Pemutih Wajah Serum 20g,2026-07-03,Ukuran,"[""20g+20g""]",1
id:1368540320:43518766575,id,1368540320,43518766575,Cyeecare Tone-Up Cream Brightening Moisturizer Makeup Primer Base Cream 20g,2026-07-03,Jumlah,"[""1 PCS"", ""3 PCS""]",2
id:1368540320:43654004856,id,1368540320,43654004856,Cyeecare Masker Rambut Keratin Hair Mask Treatment Salon - Rambut Halus Lembut Wangi Anti Rontok Kering Kusut Hair Care 150ml,2026-07-03,type,"[""[Promosi]1pcs"", ""1pcs"", ""2pcs"", ""Upgraded"", ""Upgraded*2""]",5
id:1368540320:43818386633,id,1368540320,43818386633,Cyeecare Tri-Acid Arbutin Cleansing Gel 120ml Brightening & Oil Control Mengontrol Minyak Mencerahkan Kulit,2026-07-03,Ukuran,"[""120ml*1"", ""120ml*2""]",2
id:1368540320:43868361582,id,1368540320,43868361582,[NEW]Cyeecare Essence Toner Toner Esensi Pelembap Lembut dengan Witch Hazel 80ml,2026-07-03,tipe,"[""Essence Toner*5"", ""Essence Toner*3"", ""Tone-Up Cream*1""]",3
id:1368540320:44100386393,id,1368540320,44100386393,Cyeecare Combo Hemat Set (3pcs Tone-Up Cream + 1pc Peeling Solution),2026-07-03,Pilihan,"[""3 ToneUp +1 Peeling""]",1
id:1368540320:46300762080,id,1368540320,46300762080,Cyeecare Salicylic Acid Facial Cleanser Face Wash 70g &Tone Up Cream 20g,2026-07-03,Types,"[""SET""]",1
id:1368540320:46662299954,id,1368540320,46662299954,[New Launch] Cyeecare Paket 3 Langkah Exfo Glow Cleanser Serum Cream Skincare Set Eksfoliasi Pencerah AHA BHA PHA Niacinamide Kulit Mulus Glowing,2026-07-03,Jumlah,"[""Set 1"", ""Set 2""]",2
id:1368540320:47904142102,id,1368540320,47904142102,"Cyeecare Shampo Jahe Alami Anti Rontok – Menguatkan Akar Rambut, Perawatan Rambut Rusak 150ml",2026-07-03,Types,"[""shampoo*1"", ""shampoo*2"", ""Sampo & Masker""]",3
id:1368540320:48759375946,id,1368540320,48759375946,Cyeecare Hydrating Gelly Mask Menghidrasi dan Mencerahkan Wajah,2026-07-03,model,"[""Gel Mask*20"", ""Gel Mask*10""]",2
id:1368540320:49162304776,id,1368540320,49162304776,[New Launch] Cyeecare Paket 4 Langkah Brightening Cleansing Gel Toner Serum Cream Skincare Set Pencerah Eksfoliasi Arbutin AHA BHA Niacinamide Kulit Cerah Mulus,2026-07-03,Jumlah,"[""Set 1"", ""Set 2""]",2
id:1368540320:50900285453,id,1368540320,50900285453,Cyeecare Ginger Hair Care Serum 20g,2026-07-03,type,"[""1pcs"", ""2pcs"", ""3pcs"", ""5pcs"", ""HairCare Set""]",5
